concepto_cleared,categoria,metodo_algoritmo,explicacion
toma interruptor galica,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles (materiales eléctricos) para uso general.
servicios asesoria profesional juridica permanente fideicomiso proxi,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Prestación de servicios intelectuales de asesoría jurídica profesional permanente.
rental charges,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Pago por el alquiler de equipos o bienes muebles, no especificados como inmuebles, necesarios para la operacion."
acta parcial pagos mensuales contrato interventoria realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprende elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismojunto permisos aprobaciones necesarias obras institucioneducativa libardo madrid valderrama sede principal ciudad cali departamento valle cauca pagos mensuales correspondera cuarenta ciento valor total interventoria cancelara pagos mensuales vencidos igual valor numero cuotas igual numero meses plazo contrato interventoria cuales realizaran entrega recibo satisfaccion informe actividades desarrolladas mes correspondiente conforme previsto obligaciones respecto contrato interventoria valores prorroga periodo comprendido mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicios de supervision tecnica, administrativa y financiera sobre contratos de obra publica en infraestructura educativa."
modificatorio contrato interventoria realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprende elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismojunto permisos aprobaciones necesarias obras institucioneducativa libardo madrid valderrama sede principal ciudad cali departamento valle cauca pagos mensuales correspondera cuarenta ciento valor total interventoria cancelara pagos mensuales vencidos igual valor numero cuotas igual numero meses plazo contrato interventoria cuales realizaran entrega recibo satisfaccion informe actividades desarrolladas mes correspondiente conforme previsto obligaciones respecto contrato interventoria valores prorroga,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Modificacion contractual relacionada con las obligaciones de interventoria en la ejecucion de obras civiles.
pago variable avance obra cincuenta porciento valor contrato interventoria acuerdo avance parcial obra,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago derivado del avance contractual de servicios de interventoria sobre obras de infraestructura.
cleaning swab,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisicion de materiales de limpieza usados para mantenimiento, clasificados como bienes tangibles de consumo."
cleaning card,Compras Generales,gemini-3.1-flash-lite-preview,Adquisicion de materiales de limpieza clasificados como insumos fisicos de consumo.
kit cleaning tarjetas spt cpt,Compras Generales,gemini-3.1-flash-lite-preview,Adquisicion de insumos fisicos para mantenimiento de equipos.
samsung pulgadas uhd led crystal smart,Compras Generales,gemini-3.1-flash-lite-preview,Adquisicion de bienes tangibles (televisor) para uso corporativo o inventariable.
suscripcion formalizacion escrituras publicas transferencia vivienda favor beneficiarios finales,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicios profesionales relacionados con la gestion juridica y notarial para la transferencia de inmuebles.
impresiones copias color,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de impresion y fotocopiado de documentos.
impresiones copias,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de impresion y copiado de documentos.
lib comparendera codigo barras,Compras Generales,gemini-3.1-flash-lite-preview,Adquisicion de papeleria o material fisico impreso.
canon mes comision canon ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Pago correspondiente al canon de arrendamiento por uso de un bien inmueble.
canon mes comision iva ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,"Pago del canon de arrendamiento de un bien inmueble, incluyendo IVA."
expediente cargo fijo tramite licencia construccion ampliacion demolicion parcial,Servicios Generales,gemini-3.1-flash-lite-preview,Pago por concepto de gestion administrativa y tramite de licencias ante entidades publicas.
servicio asistencia tecnica mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicio profesional prestado por personal técnico o experto, tipificado como honorarios al ser una labor técnica independiente."
abono examenes medicos ocupacionales,Servicios de Salud,gemini-3.1-flash-lite-preview,Prestación de servicios de medicina laboral y exámenes de salud ocupacional requeridos por normativas vigentes.
concepto anulacion factura electronica factura,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Es un ajuste administrativo o contable, no representa una transacción de compra de bienes o prestación de servicios."
servicio lavado general camioneta placa,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de mantenimiento y limpieza vehicular que no encaja en categorías específicas.
servicio lavado motocicleta placa twg,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio operativo de limpieza y mantenimiento para vehículos, clasificado bajo servicios generales."
saldo contrato suministro instalacion sillas tipo graderia total sillas entregadas precio venta equivalenteal contrato,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Contrato que implica el suministro e instalación de elementos de infraestructura fija, asimilable a adecuación u obra."
suministro saldo contrato suministro instalacion sillas tipo graderia total sillas entregadas precio venta equivalenteal contrato,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Contrato que implica el suministro e instalación de elementos de infraestructura fija, asimilable a adecuación u obra."
instalacion suministro saldo contrato suministro instalacion sillas tipo graderia total sillas entregadas precio venta equivalente contrato,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Contrato que implica el suministro e instalación de elementos de infraestructura fija, asimilable a adecuación u obra."
alianza fiduciaria fideic,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio prestado por entidad fiduciaria; ante la falta de una categoría específica, se clasifica como servicio general."
reparaciones varias sistema electrico placas jsy,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de mantenimiento correctivo y reparación de sistemas eléctricos.
reintegro costos gastos parqueadero,Reembolso,gemini-3.1-flash-lite-preview,"Reintegro o devolución de gastos previamente pagados por un tercero, sin naturaleza de venta o servicio propio."
nov breakfast carin leon,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Servicio asociado a alimentación o eventos de catering, categorizado bajo servicios de restaurantes."
nov inmov lzto coca cola,DESCONOCIDO,gemini-3.1-flash-lite-preview,La descripción es ambigua y no permite identificar un bien o servicio claro en el listado.
nov paramo dua lipa,DESCONOCIDO,gemini-3.1-flash-lite-preview,Corresponde a un evento cultural o de entretenimiento sin una categoría definida en el listado.
nov paramo megaland,DESCONOCIDO,gemini-3.1-flash-lite-preview,Corresponde a un evento cultural o de entretenimiento sin una categoría definida en el listado.
dic asomeun feria juguete dias,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles (juguetes) para uso general en actividades comerciales o eventos.
feb paramo andrea bocelli,Servicios Generales,gemini-3.1-flash-lite-preview,Servicios de eventos o espectáculos clasificados como generales al no especificar el detalle del servicio prestado.
feb paramo shakira,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios asociados a la logística o acceso a eventos culturales, clasificados como servicios generales sin otra categoría específica."
abr eventos pulsar,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios relacionados con la organización de eventos, clasificados bajo servicios generales por falta de detalle técnico."
abr breakfast soad,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios logísticos o de alimentación en eventos, clasificados provisionalmente como servicios generales."
servicios mantenimiento,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios de mantenimiento sin especificar si son locativos o de equipos, requieren revisión para categorización precisa."
memoria micro lexar,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bienes tangibles (insumos tecnológicos) para uso operativo o inventariable.
scanner documental fujitsu,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de oficina tangible (scanner) destinado a la operación.
limon tahiti experiencia colombiana,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,Compra de producto agrícola en su estado natural para su comercialización o consumo.
pattex mas clavos grs,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de insumos de ferretería y adhesivos, bienes tangibles para uso corporativo."
ladrillo comun recocido,Compras Generales,gemini-3.1-flash-lite-preview,"Materiales de construcción básicos, bienes tangibles destinados a obras o reparaciones."
cinta enmascarar,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de insumos de papelería o papelería técnica, bienes corporales consumibles."
serv interventoria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios especializados de supervisión y control técnico sobre proyectos de infraestructura o contratos.
sustratos transito tpvclt,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bienes o insumos (sustratos) sin clasificación específica como producto agrícola primario.
administracion financiera comercial juridica fideicomiso dos,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicios profesionales prestados por una persona jurídica para la gestión administrativa y financiera de un fideicomiso.
revision frenos,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento y reparacion vehicular que no clasifica en categorias tecnicas especializadas.
cert dig per natu tok fis vig año,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,"Adquisicion de certificados digitales y tokens fisicos, asociados al uso de herramientas tecnologicas y de seguridad informatica."
